year,state,district,proportion_black,black_candidate,black_turnout
2006,IL,8,3.5878208,0,24.6100824
2006,IL,9,9.1498617,0,32.7104243
2006,IL,10,5.0547858,1,22.2328747
2006,IL,11,8.0554967,0,26.1176142
2006,IL,12,15.9616147,0,31.6279537
2006,IL,13,6.9651915,0,23.2309151
2006,IL,14,5.3903866,0,15.3006051
2006,IL,15,5.6572881,0,24.6461723
2006,IL,16,4.7945745,0,26.5788502
2006,IL,17,7.0951283,0,26.568896
2006,IL,18,6.7591489,0,25.8560179
2006,IL,19,3.4278793,0,23.511616
2006,IN,0,8.0676125,0,28.2386711
2006,IN,1,17.6568481,0,26.2297473
2006,IN,2,7.5685663,0,25.1001407
2006,IN,3,5.3519141,0,22.116608
2006,IN,4,2.552976,0,21.2747995
2006,IN,5,3.5274639,0,22.2177742
2006,IN,6,3.4265967,0,28.669513
2006,IN,7,31.0647801,1,33.1560927
2006,IN,8,4.0541624,0,19.8003484
2006,IN,9,2.4781146,0,22.0449438
2006,KS,1,2.2336971,0,21.3681858
2006,KS,2,4.4940478,0,26.7039106
2006,KS,3,7.9516252,0,35.9415986
2006,KS,4,6.4905235,0,25.1883883
2006,KY,1,6.5273914,0,34.346937
2006,KY,2,5.739543,0,29.4815004
2006,KY,3,18.8329061,0,37.1997961
2006,KY,4,2.6184184,0,21.6737589
2006,KY,5,1.2092623,0,54.4093981
2006,KY,6,7.8048271,0,33.5601719
2006,MA,0,4.750463,0,36.9451522
2006,MA,1,1.8911197,0,19.7358367
2006,MA,2,5.0201474,0,30.5295299
2006,MA,3,2.4004677,0,23.452348
2006,MA,4,2.8596615,0,19.2738051
2006,MA,5,2.0379722,0,21.5921978
2006,MA,6,1.8314932,0,27.7303055
2006,MA,7,3.6983535,0,31.5315315
2006,MA,8,18.708536,0,49.1155132
2006,MA,9,9.1463116,1,41.9306221
2006,MA,10,1.6915522,0,25.9897361
2006,MD,0,27.9977036,1,39.8675841
2006,MD,1,11.2322792,0,33.5692518
2006,MD,2,28.5530988,0,42.7735396
2006,MD,3,18.3659902,0,44.7118416
2006,MD,4,59.0955934,1,39.6724677
2006,MD,5,34.5323947,0,45.3429141
2006,MD,6,5.4524375,0,25.8836866
2006,MD,7,57.703376,1,34.5887406
2006,MD,8,15.3543147,0,42.8021244
2006,MI,0,13.3246984,0,50.4916515
2006,MI,1,1.3957547,0,16.1352925
2006,MI,2,4.3538048,0,37.8557187
2006,MI,3,7.5269618,0,44.6812607
2006,MI,4,2.426853,0,30.5226863
2006,MI,5,17.0725064,0,49.7398262
2006,MI,6,7.3620698,0,35.1188842
2006,MI,7,5.711005,0,29.3144617
2006,MI,8,4.2590648,0,50.615179
2006,MI,9,9.861011,0,62.1009643
2006,MI,10,2.4989677,0,40.8965728
2006,MI,11,6.3187146,0,78.4725492
2006,MI,12,17.0459804,0,78.8727331
2006,MI,13,61.4257439,1,43.0913529
2006,MI,14,62.5468658,1,49.2548219
2006,MI,15,11.5427826,0,54.0401495
2006,MN,0,3.0095627,0,38.3577312
2006,MN,2,2.0501545,0,31.6453221
2006,MN,3,4.5100517,0,37.0903997
2006,MN,4,6.1439087,1,35.0745397
2006,MN,5,9.7026211,1,41.8925907
2006,MN,6,1.4014864,0,31.9728814
2006,MO,0,10.4529956,0,41.0142148
2006,MO,1,50.8562955,1,45.0452318
2006,MO,2,2.8660059,0,21.2946953
2006,MO,3,8.7373978,0,33.314046
2006,MO,4,3.2451966,0,21.8302095
2006,MO,5,23.6132796,1,45.0560469
2006,MO,6,3.2586332,0,28.1143345
2006,MO,7,1.4444192,0,27.0053827
2006,MO,8,4.4265753,0,32.8777803
2006,MO,9,3.7698796,0,23.0445215
2006,MS,0,34.9806541,1,28.1069814
2006,MS,1,25.3208759,0,25.1749955
2006,MS,2,63.5289185,1,30.0373577
2006,MS,3,33.0473252,0,25.8721089
2006,MS,4,21.8104869,0,23.4266178
2006,NC,1,49.2137577,1,21.7939697
2006,NC,2,29.7162881,0,24.6704358
2006,NC,3,16.425089,0,21.7291823
2006,NC,4,19.904199,0,29.7078119
2006,NC,5,7.471399,0,23.3095382
2006,NC,6,8.9645652,0,26.5850795
2006,NC,7,20.8400607,0,23.1170714
2006,NC,8,29.0194522,0,22.3173276
2006,NC,9,13.0979996,0,24.3155902
2006,NC,10,8.6992066,0,24.5049051
2006,NC,11,3.9635307,0,27.6435907
2006,NC,12,46.5601255,1,22.4832473
2006,NC,13,27.4688647,1,26.9789068
2006,NE,0,3.4806376,0,30.2088779
2006,NE,1,1.5065179,0,25.6021409
2006,NE,2,8.9254078,0,28.4440386
2006,NJ,0,13.3484589,0,30.2822695
2006,NJ,1,17.2688828,0,29.7257638
2006,NJ,2,13.6964759,1,24.7917782
2006,NJ,3,8.6984366,0,34.9382
2006,NJ,4,7.8911256,0,25.8345428
2006,NJ,5,1.8766115,0,23.857868
2006,NJ,6,15.5621991,0,29.6941883
2006,NJ,7,5.7424888,0,26.6885642
2006,NJ,8,13.7676043,0,33.6212326
2006,NJ,9,7.9415177,0,32.2445029
2006,NJ,10,61.3108481,1,32.0016701
2006,NJ,11,2.7380464,0,24.6840381
2006,NJ,12,11.5409503,0,31.6555566
2006,NJ,13,15.2738356,0,24.6915729
2006,NM,0,1.9588603,0,38.1512022
2006,NM,1,2.891284,0,30.8830223
2006,NM,2,1.7704764,0,25.1750973
2006,NM,3,1.5174839,0,33.3053104
2006,NV,0,7.6741423,0,26.7919709
2006,NV,1,14.9666169,0,24.6288819
2006,NV,2,2.4466616,0,29.7268829
2006,NV,3,7.0653425,0,27.5853244
2006,NY,0,14.2505268,0,27.9470156
2006,NY,1,3.6257589,0,22.972583
2006,NY,2,10.8059666,0,22.6133432
2006,NY,3,2.9223165,0,23.024572
